comment_text,is_toxic
has just updated it. I shall give more thanks to Cyclonebiskit.,0
"underestimation 
I think calculating the real GDP has nothing to do with CPI, It's calculated differently.",0
"Flag of Sarawak 

Well, it seems to me that the article doesn't explain anything about the Trisakti. Also, it says that the Flag of the Kingdom of Sarawak was used from 1870 to 1973, while there was also a flag of the British colony of Sarawak in use from 1946 to 1963. Did Sarawak have two flags during this period?  | Talk",0
Thanks for addressing my comments so quickly. And congratulations on your GA!,0
"""

 File:Neonopolis May 2010.jpg missing description details 

Dear uploader: The media file you uploaded as File:Neonopolis May 2010.jpg is missing a description and/or other details on its image description page. If possible, please add this information. This will help other editors to make better use of the image, and it will be more informative for readers.

If the information is not provided, the image may eventually be proposed for deletion, 
a situation which is not desirable, and which can easily be avoided.

If you have any questions please see Help:Image page. Thank you.   """,0
"Editing Wikipedia 

Fuck You, you anal rapist",1
"Bug in pseudocode and implementation 

This looks wrong for the case where either the left or right set has multiple matches for any single row in the other set.
Given simple result set 
Left(A,B,C,D)
Right(B, C, C, D, E)
This code would give (B, C, D) while the correct result is (B, C, C, D)",0
"There’s definitely nothing in the original books to suggest that their fantasy world has anything to do with real countries. Their customs have a definite Scandinavian flavour, but only in the same way that the Shire is English and space aliens tend to speak like Americans. So, as literature, they're definitely Finnish, but not in a geographical sense. I suspect the English title has more to do with Swiss Family Robinson than anything else, as odd a bit of intertextuality as I've ever seen; its suggestion of their nationality isn't any more meaningful than its suggestion that Trollkarlens hatt is the first book. (And this is minor compared to the liberties taken by, for example, translations of Pippi Longstocking from the same era.)",0
"List of Moroccan Dutch people 

People should have a Wikipedia page in order to be on lists. There are exceptions. See wp:listpeople wp:wtaf Cheers",0
I've got a comment about getting this done to my pubes,0
"""

 Deletion of section on Possibility of Mars having enough water to support life 

I'd like to point out that BatteryIncluded has deleted this section. I won't try to argue with him because I have had a fruitless argument on the """"life on Mars"""" page on this very topic. He is convinced that the cosmic ray arguments that make dormant life impossible over hundreds of thousands of years periods in the surface of Mars also make it impossible for life to survive even if reproducing every year (although cosmic radiation levels on the surface are comparable to the interior of the ISS). I gave up arguing the point with him.

However I'd like to point out that there has been a major conference earlier this year in February (with 38 scientists presenting the results of their researches) [The Present-Day Habitability of Mars 2013 - Program]

You can watch the video presentations and decide for yourself if the current prevailing scientific opinion is that the surface of Mars is potentially habitable or uninhabitable. It is true that before the Phoenix lander possible salty brine observations in 2008 the prevailing view was that life on the surface of Mars is impossible. But that is no longer the consensus and it would be hard to find a single researcher in the field who holds that opinion today. I have put a copy of the section into my user space as I frequently use it for reference and found it a useful resource. Please note I did not write this section myself, only added a couple of sentences to it.
User:Robertinventor/possibility_of_Mars_having_enough_water_to_support_life
I strongly recommend that it be reinstated.   """,0
"Jerk Off!
I can't believe you! Not only did you have the audacity to delete my page about Mr. Jett Odle I, you also reported me. Let me tell you something you jerk, you are a JEW!",1
